Event ID,Event Name,Department Name,End Date,Status
0000031890,C24715006 Santa Cruz District Refuse Compactor Hauling & Disposal Services for Portola Redwoods State Park,Dept of Parks & Recreation,"08/15/2024
2:00PM PDT",Posted
0000031142,Various PPE Turnouts (DGS-OTA),CAL FIRE,"08/15/2024
2:00PM PDT",Posted
24-167,24-167 Parking Lot Sweeping and Pressure Washing and/or Steam Cleaning Services for San Ysidro DMV,Department of Motor Vehicles,"08/15/2024
2:00PM PDT",Posted
0000032207,CHP San Bernardino Area office ¿ Protective Clothing & Operational Supplies Rental Services,Dept of the CA Highway Patrol,"08/15/2024
2:00PM PDT",Posted
12-0K91U4,"Const bridges, RW, SW, pavement, drainage and electrical systems.",Department of Transportation,"08/15/2024
2:00PM PDT",Posted
11A3996,IFB Landfill Services in San Diego County,Department of Transportation,"08/15/2024
2:00PM PDT",Posted
11A3886,IFB-Drainage Waste Disposal Services in San Diego and Imperial Counties,Department of Transportation,"08/15/2024
2:00PM PDT",Posted
07A5861,IFB 07A5861 Compressor Replacement,Department of Transportation,"08/15/2024
2:00PM PDT",Posted
05A2770,Lead-Based Paint Removal and  Disposal Services at the Saratoga Gap Maintenance Station in Santa Clara County,Department of Transportation,"08/15/2024
2:00PM PDT",Posted
04A7031,IFB UPS Maintenance services in Alameda County,Department of Transportation,"08/15/2024
2:00PM PDT",Posted
03A3817,Propane Tank Maintenance and Repair Services,Department of Transportation,"08/15/2024
2:00PM PDT",Posted
04A6966,Asphalt Grindings Recycling Facility services in Santa Clara County.,Department of Transportation,"08/15/2024
2:00PM PDT",Posted
01A6440,SB Minor B-Install State Entry Monument,Department of Transportation,"08/15/2024
2:15PM PDT",Posted
0000032268,P24-0198,Dept of Food & Agriculture,"08/15/2024
3:00PM PDT",Posted
7CA06767,Recycling Collection and Processing Services,CAL FIRE,"08/15/2024
3:00PM PDT",Posted
0000032189,to seek a qualified consultant to provide Cal Poly Pomona with adequate services for identifying various public financing options for predevelopment expenses and infrastructure implementation for Lanterman. This aims to achieve financing of pre-developme,Polytechnic University Pomona,"08/15/2024
3:00PM PDT",Posted
0000032185,Intrusion Alarm System Installation Services - IFB No. 98780,Employment Development Dept,"08/15/2024
3:00PM PDT",Posted
0000032271,WANTED TO LEASE BY THE STATE OF CALIFORNIA Rancho Cucamonga,Department of General Services,"08/15/2024
5:00PM PDT",Posted
0000032272,24CS0036 - Endodontic Services,Dept of Veterans Affairs,"08/15/2024
5:00PM PDT",Posted
03A3703,IFPQ Landscape Maintenance,Department of Transportation,"08/15/2024
5:00PM PDT",Posted
7CA06803,IFB 7CA06803 - Vehicle Salvage Services,CAL FIRE,"08/15/2024
5:00PM PDT",Posted
0000032274,WANTED TO LEASE BY THE STATE OF CALIFORNIA Concord,Department of General Services,"08/15/2024
5:00PM PDT",Posted
24-159,24-159 Small Business Bid Solicitation - Parking Lot Sweep and Pressure Washingand,Department of Motor Vehicles,"08/15/2024
5:00PM PDT",Posted
0000032254,WANTED TO LEASE BY THE STATE OF CALIFORNIA - Sanger/Clovis,Department of General Services,"08/15/2024
6:00PM PDT",Posted
0000032275,WANTED TO LEASE BY THE STATE OF CALIFORNIA - Sacramento,Department of General Services,"08/15/2024
6:00PM PDT",Posted
0000032048,Export Training Grant Program,Business & Economic Developmnt,"08/16/2024
8:00AM PDT",Posted
0000032219,UCLA West Valley Medical Center Master Plan Study,UCLA,"08/16/2024
10:00AM PDT",Posted
0000032293,CHP Death Valley RP ¿ HVAC Maintenance Services.- 24C825006,Dept of the CA Highway Patrol,"08/16/2024
11:00AM PDT",Posted
0000032269,"C5612018-D, Rebid 1 - Veterinary Services",Dept of Corrections & Rehab,"08/16/2024
11:00AM PDT",Posted
0000032283,Live Fire Trainer Services - Fresno,Military Department,"08/16/2024
12:00PM PDT",Posted
0000032101,CHP East Los Angeles Area office - Semi-annual Vehicle Hoist Maintenance Services,Dept of the CA Highway Patrol,"08/16/2024
1:00PM PDT",Posted
0000032116,CHP West Los Angeles Area office - Semi-annual Vehicle Hoist Maintenance Services,Dept of the CA Highway Patrol,"08/16/2024
1:30PM PDT",Posted
0000032223,Janitorial Services CHP 24C245000,Dept of the CA Highway Patrol,"08/16/2024
2:00PM PDT",Posted
EEOS90524,Project Management and Governance Support,State Controller,"08/16/2024
2:00PM PDT",Posted
0000032093,Replace Air Compressor - Field Maintenance Shop (FMS) 22,Military Department,"08/16/2024
2:00PM PDT",Posted
10201136,On-call Drafting and Technical Writing Engineering Services,Department of Water Resources,"08/16/2024
2:00PM PDT",Posted
0000032277,C24864009 TOPANGA SP - Native Nursery Services,Dept of Parks & Recreation,"08/16/2024
2:00PM PDT",Posted
0000032200,IFB SD24-00001 Specialty Wheelchair Measurements Services,Dept of Corrections & Rehab,"08/16/2024
3:00PM PDT",Posted
0000032226,IFB 24C730001 WEAPONS FIRING RANGE SERVICES,Dept of the CA Highway Patrol,"08/16/2024
3:00PM PDT",Posted
0000032242,QR 24C735002 CHP JANITORIAL SERVICES,Dept of the CA Highway Patrol,"08/16/2024
3:00PM PDT",Posted
HD249094,HD249094 Language and Communication Assessment Tool and Assessor Training,Dept of Developmental Services,"08/16/2024
3:00PM PDT",Posted
0000032146,QR 24C720004 CHP JANITORIAL SERVICES,Dept of the CA Highway Patrol,"08/16/2024
4:00PM PDT",Posted
0000032257,RFP CalSTRS Investment Counsel,State Teachers' Retirement Sys,"08/16/2024
4:00PM PDT",Posted
0000032259,WANTED TO LEASE BY THE STATE OF CALIFORNIA Valencia,Department of General Services,"08/16/2024
5:00PM PDT",Posted
0000032104,"IFB P2499003, Water System Operator",Department of Fish & Wildlife,"08/16/2024
5:00PM PDT",Posted
CTA24014,CTA24014 IFB Motel 6 Security,CA Tahoe Conservancy,"08/16/2024
11:59PM PDT",Posted
24-127,24-127 Mid-day Janitorial Services for the El Cajon DMV Field Office,Department of Motor Vehicles,"08/16/2024
11:59PM PDT",Posted
0000031889,RFP Secondary 23NC0761: Avoided Cost Calculator Updates,Public Utilities Commission,"08/19/2024
10:00AM PDT",Posted
59A1325,"59A1325 - On-Call Structure Construction services for District 4 in the counties of San Francisco, San Mateo, Santa Clara and Alameda.",Department of Transportation,"08/19/2024
10:00AM PDT",Posted
0000031845,Group A: ENERGY EFFICIENCY SAVINGS MEASUREMENT - 23NC0404,Public Utilities Commission,"08/19/2024
10:00AM PDT",Posted
0000032258,24C825005 | CHP Lone Pine RP Automatic Gate Maintenance Services.,Dept of the CA Highway Patrol,"08/19/2024
11:00AM PDT",Posted
HD249105,"HD249105 Translation, Interpretation, Transcription and captioning Services",Dept of Developmental Services,"08/19/2024
1:00PM PDT",Posted
0000032298,WANTED TO LEASE BY THE STATE OF CALIFORNIA - San Jose,Department of General Services,"08/19/2024
1:00PM PDT",Posted
0000032060,IFB #24C651004 CHP San Onofre CVEF N & S - Parking Lot Sweeping Services,Dept of the CA Highway Patrol,"08/19/2024
2:00PM PDT",Posted
0000031968,24YS0013 - Generator Maintenance,Dept of Veterans Affairs,"08/19/2024
2:00PM PDT",Posted
0000031824,Class C Uniforms (DGS-OTA),Military Department,"08/19/2024
2:00PM PDT",Posted
0000032228,24C495000 - CHP Coalinga - HVAC Maintenance,Dept of the CA Highway Patrol,"08/19/2024
2:00PM PDT",Posted
0000032209,IFB 24-0032b Curly Top Virus Aerial Application of Insecticide,Dept of Food & Agriculture,"08/19/2024
2:00PM PDT",Posted
0000032188,RFQ FOR PLANNING SERVICES: REGIONAL PATHOLOGY,UC Davis Medical Center,"08/19/2024
4:00PM PDT",Posted
0000032288,WANTED TO LEASE BY THE STATE OF CALIFORNIA Sacramento,Department of General Services,"08/19/2024
5:00PM PDT",Posted
RFP2324-05,Older Adult Behavioral Health (OABH) Comm. Capacity Building,California Department of Aging,"08/19/2024
5:00PM PDT",Posted
0000032011,General Transit Feed Specification - Realtime (GTFS-Realtime) Services Master Service Agreements REBID #1,DGS - Statewide Procurement,"08/19/2024
5:00PM PDT",Posted
0000032022,"RFP-24-301 Compliance, Monitoring, and Reporting Support for Federal Funding",Energy Resources Conservation,"08/19/2024
11:59PM PDT",Posted
59A1324,"59A1324 - On-Call Structure Construction Services - District 4 in the counties of Sonoma, Napa, Marin, Contra Costa, Solano counties",Department of Transportation,"08/20/2024
10:00AM PDT",Posted
0000032173,FIRE SUPPRESSION AND FIRE SPRINKLER INSP TESTING - IFB 24C130003,Dept of the CA Highway Patrol,"08/20/2024
11:00AM PDT",Posted
0000031924,24-09006-000 Invitation for Bid (IFB) for General Clinical Laboratory Services Add  3,Department of State Hospitals,"08/20/2024
12:00PM PDT",Posted
0000032117,CHP South Los Angeles Area office - Semi-annual Vehicle Hoist Maintenance Services,Dept of the CA Highway Patrol,"08/20/2024
1:00PM PDT",Posted
06A3066,"IFB, Demolition and Clearance -Fresno, Kern, Kings, Madera, and Tulare Counties",Department of Transportation,"08/20/2024
2:00PM PDT",Posted
0000032218,CI-260 MVS Center Audiovisual Upgrade,"CSU, Channel Islands","08/20/2024
2:00PM PDT",Posted
0000032193,IFB 23-159281-R1FMD.BackflowMaintenance,Department of General Services,"08/20/2024
2:00PM PDT",Posted
0000032183,IFB- 23-191804.GarageCleaningServices.NorthernCalifornia,Department of General Services,"08/20/2024
2:00PM PDT",Posted
0000032202,York and Trane Chillers Maintenance and Incidental Repairs,Department of State Hospitals,"08/20/2024
2:00PM PDT",Posted
0000032108,IFB - 10201908 - Butterfly Valves,Department of Water Resources,"08/20/2024
3:30PM PDT",Posted
0000032273,WANTED TO LEASE BY THE STATE OF CALIFORNIA Rancho Cucamonga,Department of General Services,"08/20/2024
5:00PM PDT",Posted
24-147,"24-147 24-147 ¿ Printing and Delivery of 400,000, 9"" x 12"" Catalog Envelopes (ADM 636).",Department of Motor Vehicles,"08/20/2024
11:59PM PDT",Posted
0000032149,"C5612116-D - Asbestos, Lead-Based Paint, and Mold Abatement Services",Dept of Corrections & Rehab,"08/21/2024
11:00AM PDT",Posted
0000032155,24-11006-000 Waste Removal and Recycling Services,Department of State Hospitals,"08/21/2024
2:00PM PDT",Posted
0000032225,Snow and Ice Removal Services CHP 24C222001,Dept of the CA Highway Patrol,"08/21/2024
2:00PM PDT",Posted
0000027421,Electronic Fund Transfer Services (DGS-OTA),State Controller,"08/21/2024
2:00PM PDT",Posted
0000032294,IFB 24C062001 RADIOLOGICAL EQUIPMENT MAINT SERVICES REBID 1,Dept of the CA Highway Patrol,"08/21/2024
3:00PM PDT",Posted
0000032167,10201852 Snowcat Operator and Winter Survival Training,Department of Water Resources,"08/21/2024
4:00PM PDT",Posted
0000032211,IFB C5612414-D Portable Toilet Rental & Services,Dept of Corrections & Rehab,"08/22/2024
11:00AM PDT",Posted
0000032105,CHP Desert Hills Commercial Vehicle Enforcement Facility (CVEF) ¿ Westbound - GENERATOR MAINTENANCE SERVICES,Dept of the CA Highway Patrol,"08/22/2024
2:00PM PDT",Posted
11-430384,"Replace drainage, concrete pavement, and modify electrical systems.",Department of Transportation,"08/22/2024
2:00PM PDT",Posted
0000032196,CHP Desert Hills Commercial Vehicle Enforcement Facility (CVEF) ¿ Parking Lot Sweeping Services,Dept of the CA Highway Patrol,"08/22/2024
2:00PM PDT",Posted
0000032224,HVAC Maintenance Services CHP 24C246000,Dept of the CA Highway Patrol,"08/22/2024
2:00PM PDT",Posted
E01055,SFSU Job Order Contract E01055-E01058,"CSU, San Francisco","08/22/2024
2:00PM PDT",Posted
0000032118,24-C0024 SprayDays Marketing Campaign,Dept of Pesticide Regulation,"08/22/2024
5:00PM PDT",Posted
0000032160,Notification to the Industry on Draft Traction Power Request for Proposals,High Speed Rail Authority,"08/22/2024
5:00PM PDT",Posted
0000032281,"Parking Structure 3 South, Level 5 Waterproofing Installation and Parking Structure 9, Level 6 Waterproofing Installation",UCLA,"08/23/2024
10:00AM PDT",Posted
0000032205,"C5612036-D, Rebid 1 - Paint Gun and Parts Cleaning Equipment Rental and Maintenance Services",Dept of Corrections & Rehab,"08/23/2024
11:00AM PDT",Posted
0000032159,"IFB C5612423-D, Braille Document Transcription Services",Dept of Corrections & Rehab,"08/23/2024
11:00AM PDT",Posted
CTA24012,CTA24012 North Tahoe Beach Seal and Stripe,CA Tahoe Conservancy,"08/23/2024
11:59AM PDT",Posted
0000032178,Fence Repair Services CHP - 24C246003,Dept of the CA Highway Patrol,"08/23/2024
2:00PM PDT",Posted
0000032067,IFB 24C726006 CHP Parking Lot Steam Cleaning Services,Dept of the CA Highway Patrol,"08/23/2024
3:00PM PDT",Posted
0000032217,RESD-PMDB 2024-04 BIEBER FOREST FIRE STATION AND HELITACK BASE ¿ RELOCATION PROJECT,Department of General Services,"08/23/2024
5:00PM PDT",Posted
0000032279,2024-002 California Environmental Quality Act Services,Department of Conservation,"08/23/2024
5:00PM PDT",Posted
0000032094,REQUEST FOR INFORMATION (RFI) - 2024CARB_ ACC II-RFI002 - Advanced Clean Cars (ACC) II ZEV Regulation Tracking System,State Air Resources Board,"08/23/2024
5:00PM PDT",Posted
0000032241,24IT-EO001 Audio/Visual Services for CARB,State Air Resources Board,"08/23/2024
5:00PM PDT",Posted
0000032239,RFP 5000002960 for Death Match Services,State Teachers' Retirement Sys,"08/26/2024
2:00PM PDT",Posted
0000032270,RFP-24NRY036-TEMPORARY/RELIEF SUBSTITUTE NURSE SERVICES,Dept of Veterans Affairs,"08/26/2024
2:00PM PDT",Posted
0000031514,HVAC MAINTENANCE - IFB 24C125006,Dept of the CA Highway Patrol,"08/27/2024
11:00AM PDT",Posted
0000032286,"C5612106-D, Rebid 1",Dept of Corrections & Rehab,"08/27/2024
11:00AM PDT",Posted
0000032163,RFP No. CFF 7708: F5CA Public Education Campaign,First 5 California,"08/27/2024
12:00PM PDT",Posted
0000032301,23-198545.FMD.Window Replacement Services,Department of General Services,"08/27/2024
2:00PM PDT",Posted
10199189,On-Call Construction Project Management Services and Engineering Project Management Support Services,Department of Water Resources,"08/27/2024
2:00PM PDT",Posted
74A1552,"Request for Proposal 74A1552, District 11¿s Climate Change Adaptation Planning Study for SR-75",Department of Transportation,"08/27/2024
2:00PM PDT",Posted
06-0U4214,Replace highway planting and install irrigation.,Department of Transportation,"08/27/2024
2:00PM PDT",Posted
03-4H9704,"Heating ventilation and air conditioning replacement, roof repair.",Department of Transportation,"08/27/2024
2:00PM PDT",Posted
0000032134,S08242417 Backup License Plate Production Services,Prison Industry Authority,"08/27/2024
3:00PM PDT",Posted
2024-9358,CalPERS Board of Administration Election Services,Public Employees' Retirement,"08/27/2024
3:00PM PDT",Posted
0000032227,CHP Central Division - HVAC Maintenance Services,Dept of the CA Highway Patrol,"08/28/2024
2:00PM PDT",Posted
0000032201,CHP Tecate Platform Scales (PS) ¿ Semi-Annual Parking Lot Steam Cleaning Services,Dept of the CA Highway Patrol,"08/28/2024
2:00PM PDT",Posted
0000032168,IFB 24-3038 CWD Facility Accessibility Reviews,Department of Social Services,"08/28/2024
3:00PM PDT",Posted
0000031820,RFP No. 24ASD001 - California Air Resources Board Southern California Headquarters Property Management Services,State Air Resources Board,"08/28/2024
3:00PM PDT",Posted
0000032216,QR 24C740004 CHP JANITORIAL SERVICES,Dept of the CA Highway Patrol,"08/28/2024
4:00PM PDT",Posted
24-130,24-130 ¿ Landscape Maintenance Services and One Time Clean-Up at the Hollister DMV Field Office,Department of Motor Vehicles,"08/28/2024
11:59PM PDT",Posted
24-166,24-166 ¿ Parking Lot Sweeping and Pressure Washing and/or Steam Cleaning Services at the Culver City DMV Field Office,Department of Motor Vehicles,"08/28/2024
11:59PM PDT",Posted
0000032282,CHP Keene Platform Scales (PS) ¿ Portable Chemical Toilet Services,Dept of the CA Highway Patrol,"08/29/2024
12:00PM PDT",Posted
0000032139,IFB #24C465001 - CHP Modesto Area Office¿ Weekly Landscape Maintenance Services,Dept of the CA Highway Patrol,"08/29/2024
2:00PM PDT",Posted
0000032206,CHP Tecate Platform Scales (PS) ¿Parking Lot Sweeping Services,Dept of the CA Highway Patrol,"08/29/2024
2:00PM PDT",Posted
0000032245,Roll-Up Door Repair and Replacement - Various Armories,Military Department,"08/29/2024
2:00PM PDT",Posted
0000032295,IBF#24C094001-Pre-Employment Background Investigation and Verification Services,Dept of the CA Highway Patrol,"08/29/2024
2:00PM PDT",Posted
0000032068,IFB 24C771004 CHP PARKING LOT STEAM CLEANING SERVICES,Dept of the CA Highway Patrol,"08/29/2024
3:15PM PDT",Posted
0000032126,"P2024203 Daugherty Hill Wildlife Area, Howard Hill Unit Permit for Excess Vegetation Disposal",Department of Fish & Wildlife,"08/29/2024
11:59PM PDT",Posted
10201420,Northern California On-Call Stormwater and Construction Permitting,Department of Water Resources,"08/30/2024
2:00PM PDT",Posted
10200505,Engineering and Environmental Services,Department of Water Resources,"08/30/2024
2:00PM PDT",Posted
0000032179,4CA06613 Professional Engineering and Design Retainer,CAL FIRE,"08/30/2024
2:00PM PDT",Posted
0000032267,CHP Capitol Protection Section (CPS) ¿ Hangar Door Maintenance Services,Dept of the CA Highway Patrol,"08/30/2024
2:00PM PDT",Posted
0000032156,RFP PHARMACY 24-02,Department of Consumer Affairs,"08/30/2024
3:00PM PDT",Posted
0000032102,IFB 24C771003 CHP SCALE MAINTENANCE SERVICES,Dept of the CA Highway Patrol,"08/30/2024
3:00PM PDT",Posted
CTA24010,CTA24010 Motel 6 Boarding,CA Tahoe Conservancy,"08/30/2024
11:59PM PDT",Posted
0000032071,Oakland Office/Retail Spaces Available in Prime & Secure Downtown State Office Building,Department of General Services,"09/01/2024
11:59PM PDT",Posted
0000032074,"Oakland Office/Retail Spaces Available Sidewalk Access, Great Street Visibility",Department of General Services,"09/01/2024
11:59PM PDT",Posted
0000032073,Oakland Cafeteria Space Available in Prime & Secure Downtown State Office Building,Department of General Services,"09/01/2024
11:59PM PDT",Posted
04A7071,A&E On-Call Environmental Cultural Resources Services,Department of Transportation,"09/03/2024
10:00AM PDT",Posted
24-156,24-156 Quarterly preventative maintenance and inspection services and non-scheduled repair services for five (5) Manitowoc ice machines,Department of Motor Vehicles,"09/03/2024
10:00AM PDT",Posted
0000032169,C5612403-D Sharps Medical Waste Removal And Disposal Administration Buildings Statewide,Dept of Corrections & Rehab,"09/03/2024
11:00AM PDT",Posted
0000032297,"Boiler Inspections, Calibrations, Maintenance, Repairs and Source Compliance Testing Services",Dept of Corrections & Rehab,"09/03/2024
11:00AM PDT",Posted
0000032235,HB Security Fence Installation,State Lands Commission,"09/03/2024
5:00PM PDT",Posted
24-099,24-099  Lincoln Park DMV for Low Voltage Communication Cabling and Electrical Components Conduits Demolition and Installation Services,Department of Motor Vehicles,"09/04/2024
11:59PM PDT",Posted
03-0J01U4,"HMA (Type A), cold plane AC Pvmt, Rdwy Exc, & Cl 2 AB.",Department of Transportation,"09/05/2024
2:00PM PDT",Posted
0000032195,RFP 24-0011718  EXECUTIVE COMPENSATION ANALYSIS,Office of Energy Infrastructur,"09/05/2024
2:00PM PDT",Posted
0000032303,Burglar Alarm Monitoring,Dept of Parks & Recreation,"09/05/2024
2:00PM PDT",Posted
0000032000,"CONTRACT NUMBER: 23-205028, OES SECURITY UPGRADES, OFFICE OF EMERGENCY SERVICES, MATHER, SACRAMENTO COUNTY, CALIFORNIA;  PROJECT NUMBER: 10522",Department of General Services,"09/05/2024
2:00PM PDT",Posted
0000032138,24C465002 CHP Modesto - Janitorial Services,Dept of the CA Highway Patrol,"09/06/2024
2:00PM PDT",Posted
0000028627,Annual Request for Qualifications and Information,State Coastal Conservancy,"09/08/2024
6:00PM PDT",Posted
0000032233,REPOST:  RFA-24-001 Native American & Indigenous Artists in California (consultant),CA Arts Council,"09/09/2024
5:00PM PDT",Posted
579-2024,Systemwide Title IX Case Management Software,CSU Systemwide Offices,"09/10/2024
12:00PM PDT",Posted
24-140,24-140 ¿ Landscape Maintenance Services and One Time Clean-Up at the West Covina DMV Field Office,Department of Motor Vehicles,"09/11/2024
11:59PM PDT",Posted
0000032300,JM189788950,Cal-Poly San Luis Obispo,"09/12/2024
3:00PM PDT",Posted
0000032103,23NC0465 CPUC Energy Efficiency Group B Oversight,Public Utilities Commission,"09/13/2024
5:00PM PDT",Posted
0000032199,RFQ FTB-2425-00095 BMC AMI Application Restart Control Software Maintenance,Franchise Tax Board,"09/13/2024
5:00PM PDT",Posted
03-3H8304X,"Construct sidewalks, curb ramps and drainage facilities.",Department of Transportation,"09/19/2024
2:00PM PDT",Posted
0000032278,Bay Door Maintenance Services CHP- 24C223001,Dept of the CA Highway Patrol,"09/19/2024
2:00PM PDT",Posted
23-053,Disproportionate Share Hospital Audits (IFB 23-053),State Dept Hlth Care Services,"09/19/2024
4:00PM PDT",Posted
0000032287,Event Tenting & Furniture Rental Services,32nd DAA -Costa Mesa,"09/20/2024
11:00AM PDT",Posted
0000032143,RFP-24-601 Technical Assistance MDHD Blueprint Development,Energy Resources Conservation,"09/20/2024
11:59PM PDT",Posted
0000029982,Zero-Emission Transit Buses,DGS - Statewide Procurement,"09/23/2024
5:00PM PDT",Posted
0000032172,C5612454-D Elevator Door Replacement & Smoke Curtain Installation Services,Dept of Corrections & Rehab,"09/24/2024
11:00AM PDT",Posted
0000030212,HSR23-23 Request for Proposals for Financial and Commercial Advisory Services,High Speed Rail Authority,"09/27/2024
3:00PM PDT",Posted
0000027861,California Vaccine Management Solution (CA-VMS) Maintenance & Operations,Department of Public Health,"09/30/2024
3:00PM PDT",Posted
0000031471,RFP A2310011804.01 - 988 Mobile Dispatch System (MDS) for Cal OES,Office of Emergency Services,"09/30/2024
5:00PM PDT",Posted
0000029598,RFP 23-0923 ET2,Dept of Food & Agriculture,"10/01/2024
12:00PM PDT",Posted
0000032265,CI-258 Request for Qualifications- Gateway Hall Building Portico Public Art Project,"CSU, Channel Islands","10/01/2024
2:00PM PDT",Posted
0000028728,23CS0002 I-3 Time and Date Stamp Machine (RapidPrint-Brand) Maintenance and Repair Services,Dept of Veterans Affairs,"10/03/2024
3:30PM PDT",Posted
0000032249,Audit the California State Auditor RFP,"""Little Hoover"" Commission","10/18/2024
11:59PM PDT",Posted
0000032092,RFP C5611826 CDCR Communications and Technology Solution (IC+),Dept of Corrections & Rehab,"10/23/2024
1:00PM PDT",Posted
0000032016,RFQ A241013270 NextGEN 911 Project Management for CalOES,Office of Emergency Services,"11/01/2024
4:30PM PDT",Posted
0000028910,CDPH Future Disease Surveillance System (FDSS) Solicitation 23-10673 Phase 1,Department of Public Health,"11/29/2024
4:00PM PST",Posted
0000032263,DSH Continuum-EHR 1004888-111323,Department of State Hospitals,"12/02/2024
4:00PM PST",Posted
0000027279,Continuum-EHR 2023-00466,Department of State Hospitals,"12/31/2024
5:00PM PST",Posted
0000032284,DCC Cannabis Law Enforcement Activity Tracking System,Department of Cannabis Control,"01/31/2025
3:00PM PST",Posted
0000022860,SCO California State Payroll System  (CSPS) Solicitation No.CSPS90121,State Controller,"02/27/2025
5:00PM PST",Posted
0000015808,RFA 20-20 Court Appointed Psychiatric Services,Superior Court of San Bernardi,"06/30/2025
3:00PM PDT",Posted
0000031994,BLANKET ADVERTISEMENT FOR VARIOUS MINOR CAPITAL CONSTRUCTION PROJECTS (NOT for a specific project),"CSU, Dominguez Hills","06/30/2025
11:00PM PDT",Posted
